Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of the Treasury,Departmental Offices,"Grants for Specified Energy Property in Lieu of Tax Credits, Rec",20-0140,No Year,No Year,"20-0140 /X - Grants for Specified Energy Property in Lieu of Tax Credits, Rec",$162.5M,"$1,164.8M",13.9%
Department of the Treasury,Departmental Offices,Treasury Forfeiture Fund,20-5697,No Year,No Year,20-5697 /X - Treasury Forfeiture Fund,$617.0M,"$1,083.6M",56.9%
Department of the Treasury,Departmental Offices,Treasury Franchise Fund,20-4560,No Year,No Year,20-4560 /X - Treasury Franchise Fund,$275.6M,$816.5M,33.8%
Department of the Treasury,Bureau of Engraving and Printing,Bureau of Engraving and Printing Fund,20-4502,No Year,No Year,20-4502 /X - Bureau of Engraving and Printing Fund,$178.7M,$810.2M,22.1%
Department of the Treasury,Fiscal Service,Financial Agent Services,20-1802,No Year,No Year,20-1802 /X - Financial Agent Services,$64.2M,$802.7M,8.0%
Department of the Treasury,Internal Revenue Service,Payment to Issuer of Qualified School Construction Bonds,20-0946,No Year,No Year,20-0946 /X - Payment to Issuer of Qualified School Construction Bonds,$67.4M,$693.5M,9.7%
Department of the Treasury,Fiscal Service,Payment of Claims under Contract Disputes Act of 1978,20-1743,No Year,No Year,20-1743 /X - Payment of Claims under Contract Disputes Act of 1978,$81.2M,$615.0M,13.2%
Department of the Treasury,Fiscal Service,Federal Reserve Bank Reimbursement Fund,20-1884,No Year,No Year,20-1884 /X - Federal Reserve Bank Reimbursement Fund,$11.1M,$594.1M,1.9%
Department of the Treasury,Fiscal Service,"Salaries and Expenses, Fiscal Service",20-0520,FY2017,2017,"20-0520 /17 - Salaries and Expenses, Fiscal Service",$48.3M,$547.8M,8.8%
Department of the Treasury,Internal Revenue Service,Operations Support,20-0919,No Year,No Year,20-0919 /X - Operations Support,$279.7M,$479.3M,58.3%
Department of the Treasury,Departmental Offices,Presidential Election Campaign Fund,20-5081,No Year,No Year,20-5081 /X - Presidential Election Campaign Fund,$366.4M,$366.5M,100.0%
Department of the Treasury,Departmental Offices,Salaries and Expenses,20-0101,FY2017,2017,20-0101 /17 - Salaries and Expenses,$47.1M,$334.4M,14.1%
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Guarantee Bond Loan,20-4366,No Year,No Year,20-4366 /X - Community Development Financial Institutions Guarantee Bond Loan,$269.5M,$291.4M,92.5%
Department of the Treasury,Internal Revenue Service,Business Systems Modernization,20-0921,FY2017-FY2019,2019,20-0921 17/19 - Business Systems Modernization,$142.7M,$290.0M,49.2%
Department of the Treasury,Departmental Offices,State HFA Direct Loan Financing Account,20-4298,No Year,No Year,20-4298 /X - State HFA Direct Loan Financing Account,$56.0M,$284.1M,19.7%
Department of the Treasury,Internal Revenue Service,Taxpayer Services,20-0912,FY2017-FY2018,2018,20-0912 17/18 - Taxpayer Services,$5.0M,$224.2M,2.2%
Department of the Treasury,Departmental Offices,Community Development Financial Institution Fund Program Account,20-1881,FY2017-FY2018,2018,20-1881 17/18 - Community Development Financial Institution Fund Program Account,$221.9M,$222.6M,99.7%
Department of the Treasury,Fiscal Service,Continued Dumping and Subsidy Offset,20-5688,No Year,No Year,20-5688 /X - Continued Dumping and Subsidy Offset,$128.0M,$175.2M,73.1%
Department of the Treasury,Internal Revenue Service,IRS Miscellaneous Retained Fees,20-5432,No Year,No Year,20-5432 /X - IRS Miscellaneous Retained Fees,$169.8M,$172.7M,98.3%
Department of the Treasury,Fiscal Service,Hope Reserve Fund,20-5581,No Year,No Year,20-5581 /X - Hope Reserve Fund,$169.9M,$169.9M,100.0%
Department of the Treasury,Departmental Offices,Treasury Inspector General for Tax Administration,20-0119,FY2017,2017,20-0119 /17 - Treasury Inspector General for Tax Administration,$15.8M,$166.2M,9.5%
Department of the Treasury,Fiscal Service,Debt Collection,20-5445,FY2017-FY2018,2018,20-5445 17/18 - Debt Collection,$72.7M,$161.7M,44.9%
Department of the Treasury,Fiscal Service,Reimbursements to Federal Reserve Banks,20-0562,No Year,No Year,20-0562 /X - Reimbursements to Federal Reserve Banks,$6.4M,$155.6M,4.1%
Department of the Treasury,Departmental Offices,Troubled Asset Relief Program Equity Purchase Financing Account,20-4278,No Year,No Year,20-4278 /X - Troubled Asset Relief Program Equity Purchase Financing Account,$55.2M,$150.5M,36.7%
Department of the Treasury,Departmental Offices,Financial Research Fund,20-5590,No Year,No Year,20-5590 /X - Financial Research Fund,$44.6M,$140.7M,31.7%
Department of the Treasury,Internal Revenue Service,Operations Support,20-0919,FY2017-FY2018,2018,20-0919 17/18 - Operations Support,$81.1M,$130.8M,62.0%
Department of the Treasury,Departmental Offices,Office of Financial Stability,20-0128,FY2017,2017,20-0128 /17 - Office of Financial Stability,$19.7M,$122.5M,16.1%
Department of the Treasury,Departmental Offices,"Capital Magnet Fund, Community Develpment Financial Institutions",20-8524,No Year,No Year,"20-8524 /X - Capital Magnet Fund, Community Develpment Financial Institutions",$118.8M,$120.0M,99.0%
Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,Salaries and Expenses,20-1008,FY2017,2017,20-1008 /17 - Salaries and Expenses,$11.8M,$113.6M,10.4%
Department of the Treasury,Internal Revenue Service,Business Systems Modernization,20-0921,FY2016-FY2018,2018,20-0921 16/18 - Business Systems Modernization,$73.5M,$105.1M,69.9%
Department of the Treasury,Departmental Offices,Office of Terrorism and Financial Intelligence,20-1804,FY2017,2017,20-1804 /17 - Office of Terrorism and Financial Intelligence,$23.0M,$99.4M,23.2%
Department of the Treasury,Internal Revenue Service,Operations Support,20-0919,FY2016-FY2017,2017,20-0919 16/17 - Operations Support,$18.8M,$94.3M,20.0%
Department of the Treasury,Internal Revenue Service,Business Systems Modernization,20-0921,FY2015-FY2017,2017,20-0921 15/17 - Business Systems Modernization,$14.6M,$91.1M,16.0%
Department of the Treasury,Financial Crimes Enforcement Network,Salaries and Expenses,20-0173,FY2017,2017,20-0173 /17 - Salaries and Expenses,$14.1M,$83.7M,16.8%
Department of the Treasury,Fiscal Service,Debt Collection,20-5445,FY2016-FY2017,2017,20-5445 16/17 - Debt Collection,$1.6M,$76.3M,2.1%
Department of the Treasury,Internal Revenue Service,Informant Payments,20-5433,No Year,No Year,20-5433 /X - Informant Payments,$41.1M,$62.9M,65.3%
Department of the Treasury,Departmental Offices,Small Business Lending Fund Financing Account,20-4349,No Year,No Year,20-4349 /X - Small Business Lending Fund Financing Account,$23.8M,$56.7M,41.9%
Department of the Treasury,Internal Revenue Service,Payment to Issuer of Qualified Zone Academy Bonds,20-0945,No Year,No Year,20-0945 /X - Payment to Issuer of Qualified Zone Academy Bonds,$5.2M,$55.3M,9.4%
Department of the Treasury,Internal Revenue Service,Enforcement,20-0913,FY2017-FY2018,2018,20-0913 17/18 - Enforcement,$5.3M,$50.1M,10.6%
Department of the Treasury,Departmental Offices,Cybersecurity Enhancement Account,20-1855,FY2017-FY2019,2019,20-1855 17/19 - Cybersecurity Enhancement Account,$46.5M,$47.7M,97.5%
Department of the Treasury,Departmental Offices,Office of Inspector General,20-0106,FY2017,2017,20-0106 /17 - Office of Inspector General,$12.2M,$44.7M,27.4%
Department of the Treasury,Internal Revenue Service,Payment to Issuer of New Clean Renewable Energy Bonds,20-0947,No Year,No Year,20-0947 /X - Payment to Issuer of New Clean Renewable Energy Bonds,$5.5M,$44.1M,12.5%
Department of the Treasury,Internal Revenue Service,Taxpayer Services,20-0912,No Year,No Year,20-0912 /X - Taxpayer Services,$40.0M,$43.9M,91.1%
Department of the Treasury,Internal Revenue Service,Payment Where Small Business Health Insurance Tax Credit Exceeds,20-0951,No Year,No Year,20-0951 /X - Payment Where Small Business Health Insurance Tax Credit Exceeds,$36.1M,$42.5M,85.0%
Department of the Treasury,Departmental Offices,Special Inspector General for the Troubled Asset Relief Program,20-0133,FY2017,2017,20-0133 /17 - Special Inspector General for the Troubled Asset Relief Program,$5.6M,$41.2M,13.7%
Department of the Treasury,Internal Revenue Service,Enforcement,20-0913,FY2016-FY2017,2017,20-0913 16/17 - Enforcement,$18.5M,$40.3M,45.9%
Department of the Treasury,Internal Revenue Service,Payment to Issuer of Qualified Energy Conservation Bonds,20-0948,No Year,No Year,20-0948 /X - Payment to Issuer of Qualified Energy Conservation Bonds,$2.1M,$39.2M,5.3%
Department of the Treasury,Internal Revenue Service,Business Systems Modernization,20-0921,No Year,No Year,20-0921 /X - Business Systems Modernization,$17.0M,$36.0M,47.2%
Department of the Treasury,Internal Revenue Service,Payment Where Health Care Credit Exceeds Liability for Tax,20-0923,No Year,No Year,20-0923 /X - Payment Where Health Care Credit Exceeds Liability for Tax,$12.9M,$36.0M,35.8%
Department of the Treasury,Financial Crimes Enforcement Network,Salaries and Expenses,20-0173,FY2017-FY2019,2019,20-0173 17/19 - Salaries and Expenses,$25.7M,$34.3M,74.8%
Department of the Treasury,Internal Revenue Service,Enforcement,20-0913,No Year,No Year,20-0913 /X - Enforcement,$18.0M,$33.3M,54.1%
Department of the Treasury,Departmental Offices,Community Development Financial Institution Fund Program Account,20-1881,FY2016-FY2017,2017,20-1881 16/17 - Community Development Financial Institution Fund Program Account,$30.8M,$30.8M,100.0%
Department of the Treasury,Financial Crimes Enforcement Network,Salaries and Expenses,20-0173,FY2016-FY2018,2018,20-0173 16/18 - Salaries and Expenses,$16.0M,$30.4M,52.7%
Department of the Treasury,Fiscal Service,Interest on Uninvested Funds,20-1860,No Year,No Year,20-1860 /X - Interest on Uninvested Funds,$23.3M,$30.0M,77.7%
Department of the Treasury,Departmental Offices,Community Development Financial Institution Fund Program Account,20-1881,FY2017,2017,20-1881 /17 - Community Development Financial Institution Fund Program Account,$3.8M,$26.0M,14.5%
Department of the Treasury,Departmental Offices,Salaries and Expenses,20-0101,FY2017-FY2018,2018,20-0101 17/18 - Salaries and Expenses,$21.0M,$24.0M,87.5%
Department of the Treasury,Departmental Offices,Salaries and Expenses,20-0101,FY2016-FY2017,2017,20-0101 16/17 - Salaries and Expenses,$6.7M,$22.3M,30.2%
Department of the Treasury,Departmental Offices,Community Development Financial Institutions Fund Direct Loan Fi,20-4088,No Year,No Year,20-4088 /X - Community Development Financial Institutions Fund Direct Loan Fi,$14.8M,$18.6M,79.6%
Department of the Treasury,Departmental Offices,Special Inspector General for the Troubled Asset Relief Program,20-0133,No Year,No Year,20-0133 /X - Special Inspector General for the Troubled Asset Relief Program,$18.4M,$18.5M,99.6%
Department of the Treasury,Departmental Offices,State Small Business Credit Access,20-0142,FY2010-FY2017,2017,20-0142 10/17 - State Small Business Credit Access,$6.6M,$17.6M,37.4%
Department of the Treasury,Departmental Offices,Small Business Lending Facility,20-0141,No Year,No Year,20-0141 /X - Small Business Lending Facility,$13.5M,$17.5M,76.8%
Department of the Treasury,Fiscal Service,"Salaries and Expenses, Fiscal Service",20-0520,FY2016-FY2018,2018,"20-0520 16/18 - Salaries and Expenses, Fiscal Service",$4.0M,$16.9M,23.8%
Department of the Treasury,Fiscal Service,Check Forgery Insurance Fund,20-4109,No Year,No Year,20-4109 /X - Check Forgery Insurance Fund,$6.5M,$16.2M,40.1%
Department of the Treasury,Financial Crimes Enforcement Network,Salaries and Expenses,20-0173,FY2015-FY2017,2017,20-0173 15/17 - Salaries and Expenses,$2.4M,$14.5M,16.7%
Department of the Treasury,Departmental Offices,"Trouble Asset Relief Program, Home Affordable Modification Progr",20-4329,No Year,No Year,"20-4329 /X - Trouble Asset Relief Program, Home Affordable Modification Progr",$7.0M,$10.3M,68.2%
Department of the Treasury,Internal Revenue Service,Taxpayer Services,20-0912,FY2016-FY2017,2017,20-0912 16/17 - Taxpayer Services,$0.0M,$10.3M,0.3%
Department of the Treasury,Internal Revenue Service,Private Collection Agent Program,20-5510,No Year,No Year,20-5510 /X - Private Collection Agent Program,$7.4M,$8.8M,84.2%
Department of the Treasury,Internal Revenue Service,Special Compliance Personnel Program,20-5622,No Year,No Year,20-5622 /X - Special Compliance Personnel Program,$7.6M,$7.6M,100.0%
Department of the Treasury,Internal Revenue Service,Federal Tax Lien Revolving Fund,20-4413,No Year,No Year,20-4413 /X - Federal Tax Lien Revolving Fund,$7.3M,$7.5M,97.2%
Department of the Treasury,Departmental Offices,Community Development Financial Institution Fund Program Account,20-1881,No Year,No Year,20-1881 /X - Community Development Financial Institution Fund Program Account,$4.0M,$7.3M,54.2%
Department of the Treasury,Fiscal Service,Claims for Damages,20-1742,No Year,No Year,20-1742 /X - Claims for Damages,$5.0M,$7.0M,71.0%
Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,Salaries and Expenses,20-1008,FY2017-FY2018,2018,20-1008 17/18 - Salaries and Expenses,$4.2M,$5.0M,83.8%
Department of the Treasury,Departmental Offices,Treasury Inspector General for Tax Administration,20-0119,FY2017-FY2018,2018,20-0119 17/18 - Treasury Inspector General for Tax Administration,$5.0M,$5.0M,100.0%
Department of the Treasury,Departmental Offices,Office of Terrorism and Financial Intelligence,20-1804,FY2017-FY2018,2018,20-1804 17/18 - Office of Terrorism and Financial Intelligence,$5.0M,$5.0M,100.0%
Department of the Treasury,Departmental Offices,Office of Terrorism and Financial Intelligence,20-1804,FY2016-FY2017,2017,20-1804 16/17 - Office of Terrorism and Financial Intelligence,$2.3M,$4.6M,50.2%
Department of the Treasury,Departmental Offices,Department-wide Systems and Capital Investments Programs,20-0115,FY2016-FY2018,2018,20-0115 16/18 - Department-wide Systems and Capital Investments Programs,$1.0M,$4.5M,23.5%
Department of the Treasury,Departmental Offices,Treasury Inspector General for Tax Administration,20-0119,FY2016-FY2017,2017,20-0119 16/17 - Treasury Inspector General for Tax Administration,$0.4M,$4.3M,9.0%
Department of the Treasury,Fiscal Service,"Salaries and Expenses, Fiscal Service",20-0520,FY2017-FY2019,2019,"20-0520 17/19 - Salaries and Expenses, Fiscal Service",$4.2M,$4.2M,100.0%
Department of the Treasury,Fiscal Service,"Salaries and Expenses, Fiscal Service",20-0520,FY2015-FY2017,2017,"20-0520 15/17 - Salaries and Expenses, Fiscal Service",$0.3M,$4.1M,6.4%
Department of the Treasury,Departmental Offices,Department-wide Systems and Capital Investments Programs,20-0115,FY2017-FY2019,2019,20-0115 17/19 - Department-wide Systems and Capital Investments Programs,$3.0M,$3.0M,100.0%
Department of the Treasury,Departmental Offices,Office of Inspector General,20-0106,FY2017-FY2018,2018,20-0106 17/18 - Office of Inspector General,$2.0M,$2.8M,71.3%
Department of the Treasury,Departmental Offices,GSE Mortgage-Backed Securities Purchase Program Account,20-0126,FY2017,2017,20-0126 /17 - GSE Mortgage-Backed Securities Purchase Program Account,$2.1M,$2.8M,76.2%
Department of the Treasury,Fiscal Service,Federal Interest Liabilities to States,20-1877,No Year,No Year,20-1877 /X - Federal Interest Liabilities to States,$2.3M,$2.8M,82.7%
Department of the Treasury,Departmental Offices,Terrorism Insurance Program,20-0123,No Year,No Year,20-0123 /X - Terrorism Insurance Program,$0.4M,$2.7M,14.2%
Department of the Treasury,Departmental Offices,Troubled Asset Relief Program Direct Loan Financing Account,20-4277,No Year,No Year,20-4277 /X - Troubled Asset Relief Program Direct Loan Financing Account,$0.2M,$2.4M,7.3%
Department of the Treasury,Departmental Offices,Department-wide Systems and Capital Investments Programs,20-0115,FY2015-FY2017,2017,20-0115 15/17 - Department-wide Systems and Capital Investments Programs,$2.2M,$2.2M,100.0%
