Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Legislative Branch,Library of Congress,Books for the Blind and Physically Handicapped: Salaries and Exp,03-0141,No Year,No Year,03-0141 /X - Books for the Blind and Physically Handicapped: Salaries and Exp,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Books for the Blind and Physically Handicapped: Salaries and Exp,03-0141,FY2014-FY2015,2015,03-0141 14/15 - Books for the Blind and Physically Handicapped: Salaries and Exp,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Furniture and Furnishings,03-0146,No Year,No Year,03-0146 /X - Furniture and Furnishings,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Cooperative Acquisitions Program Revolving Fund,03-4325,No Year,No Year,03-4325 /X - Cooperative Acquisitions Program Revolving Fund,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Duplication Services,03-4339,No Year,No Year,03-4339 /X - Duplication Services,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,"Gift Shop, Decimal Classification, Photo Duplication, and Relate",03-4346,No Year,No Year,"03-4346 /X - Gift Shop, Decimal Classification, Photo Duplication, and Relate",$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Fedlink and Federal Research,03-4543,No Year,No Year,03-4543 /X - Fedlink and Federal Research,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Payment of Interest on Bequest of Gertrude M. Hubbard,03-8022,No Year,No Year,03-8022 /X - Payment of Interest on Bequest of Gertrude M. Hubbard,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Library of Congress Gift Fund,03-8031,No Year,No Year,03-8031 /X - Library of Congress Gift Fund,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Library of Congress Trust Fund,03-8032,No Year,No Year,03-8032 /X - Library of Congress Trust Fund,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Service Fees,03-8208,No Year,No Year,03-8208 /X - Service Fees,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Foreign Service National Separation Liability Trust Fund,03-8339,No Year,No Year,03-8339 /X - Foreign Service National Separation Liability Trust Fund,$0.0M,$0.0M,0.0%
Legislative Branch,Office of Compliance,Awards and Settlements Fund,09-1450,No Year,No Year,09-1450 /X - Awards and Settlements Fund,$0.0M,$0.0M,0.0%
Legislative Branch,Office of Compliance,Salaries and Expenses,09-1600,FY2014,2014,09-1600 /14 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Office of Compliance,Salaries and Expenses,09-1600,FY2013-FY2014,2014,09-1600 13/14 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Office of Compliance,Salaries and Expenses,09-1600,FY2014-FY2015,2015,09-1600 14/15 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,United States Tax Court,Salaries and Expenses,23-0100,FY2014,2014,23-0100 /14 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,United States Tax Court,"Tax Courts Independent Counsel, U.S. Tax Court",23-5023,No Year,No Year,"23-5023 /X - Tax Courts Independent Counsel, U.S. Tax Court",$0.0M,$0.0M,0.0%
Legislative Branch,United States Tax Court,Tax Court Judges Survivors Annuity Fund,23-8115,No Year,No Year,23-8115 /X - Tax Court Judges Survivors Annuity Fund,$0.0M,$0.0M,0.0%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Cross Agency Support,80-0122,FY2014-FY2015,2015,80-0122 14/15 - Cross Agency Support,"$1,353.8M","$5,507.7M",24.6%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Science,80-0120,FY2014-FY2015,2015,80-0120 14/15 - Science,$681.7M,"$5,148.2M",13.2%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Exploration,80-0124,FY2014-FY2015,2015,80-0124 14/15 - Exploration,$576.0M,"$4,113.2M",14.0%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Space Operations,80-0115,FY2014-FY2015,2015,80-0115 14/15 - Space Operations,$316.2M,"$3,776.9M",8.4%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Space Research,80-0131,FY2014-FY2015,2015,80-0131 14/15 - Space Research,$93.9M,$576.0M,16.3%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Aeronautics,80-0126,FY2014-FY2015,2015,80-0126 14/15 - Aeronautics,$96.2M,$566.0M,17.0%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Construction, Environmental Compliance, and Remediation",80-0130,FY2014-FY2019,2019,"80-0130 14/19 - Construction, Environmental Compliance, and Remediation",$178.8M,$519.6M,34.4%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Working Capital Fund,80-4546,No Year,No Year,80-4546 /X - Working Capital Fund,$43.1M,$403.7M,10.7%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Cross Agency Support,80-0122,FY2013-FY2014,2014,80-0122 13/14 - Cross Agency Support,$65.4M,$313.6M,20.9%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Space Operations,80-0115,FY2013-FY2014,2014,80-0115 13/14 - Space Operations,$68.3M,$267.9M,25.5%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Science,80-0120,FY2013-FY2014,2014,80-0120 13/14 - Science,$39.3M,$259.4M,15.1%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Construction, Environmental Compliance, and Remediation",80-0130,FY2013-FY2018,2018,"80-0130 13/18 - Construction, Environmental Compliance, and Remediation",$138.3M,$247.9M,55.8%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Education,80-0128,FY2014-FY2015,2015,80-0128 14/15 - Education,$55.2M,$116.6M,47.3%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Exploration,80-0124,FY2013-FY2014,2014,80-0124 13/14 - Exploration,$60.0M,$113.4M,52.9%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Construction, Environmental Compliance, and Remediation",80-0130,FY2012-FY2017,2017,"80-0130 12/17 - Construction, Environmental Compliance, and Remediation",$42.6M,$65.3M,65.3%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Office of Inspector General,80-0109,FY2014,2014,80-0109 /14 - Office of Inspector General,$3.8M,$38.3M,9.9%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Space Research,80-0131,FY2013-FY2014,2014,80-0131 13/14 - Space Research,$8.0M,$31.1M,25.5%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Construction, Environmental Compliance, and Remediation",80-0130,FY2011-FY2016,2016,"80-0130 11/16 - Construction, Environmental Compliance, and Remediation",$20.0M,$25.9M,77.2%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Aeronautics,80-0126,FY2013-FY2014,2014,80-0126 13/14 - Aeronautics,$4.0M,$21.5M,18.7%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Cross Agency Support,80-0122,No Year,No Year,80-0122 /X - Cross Agency Support,$8.6M,$20.5M,41.9%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Education,80-0128,FY2013-FY2014,2014,80-0128 13/14 - Education,$1.2M,$18.7M,6.3%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Construction, Environmental Compliance, and Remediation",80-0130,FY2010-FY2015,2015,"80-0130 10/15 - Construction, Environmental Compliance, and Remediation",$9.1M,$10.3M,87.8%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Construction, Environmental Compliance, and Remediation",80-0130,FY2014-FY2018,2018,"80-0130 14/18 - Construction, Environmental Compliance, and Remediation",$5.5M,$9.6M,57.8%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Space Operations,80-0115,No Year,No Year,80-0115 /X - Space Operations,$4.8M,$8.2M,59.2%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Science, Aeronautics, and Exploration",80-0114,No Year,No Year,"80-0114 /X - Science, Aeronautics, and Exploration",$4.3M,$4.7M,91.5%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Construction, Environmental Compliance, and Remediation",80-0130,FY2013-FY2014,2014,"80-0130 13/14 - Construction, Environmental Compliance, and Remediation",$3.5M,$3.6M,97.3%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Exploration,80-0124,No Year,No Year,80-0124 /X - Exploration,$1.9M,$2.5M,73.3%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Mission Support,80-0112,No Year,No Year,80-0112 /X - Mission Support,$1.9M,$2.3M,82.5%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Science, Aeronautics and Technology",80-0110,No Year,No Year,"80-0110 /X - Science, Aeronautics and Technology",$1.0M,$1.3M,81.7%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Space Grant Program,80-8977,No Year,No Year,80-8977 /X - National Space Grant Program,$0.9M,$0.9M,99.8%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Science, Space, and Technology Education Trust Fund",80-8978,No Year,No Year,"80-8978 /X - Science, Space, and Technology Education Trust Fund",$0.1M,$0.9M,12.6%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Office of Inspector General,80-0109,FY2014-FY2015,2015,80-0109 14/15 - Office of Inspector General,$0.5M,$0.5M,99.2%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Office of Inspector General,80-0109,FY2013-FY2014,2014,80-0109 13/14 - Office of Inspector General,$0.1M,$0.3M,36.0%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Human Space Flight.,80-0111,No Year,No Year,80-0111 /X - Human Space Flight.,$0.2M,$0.3M,88.6%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Science,80-0120,No Year,No Year,80-0120 /X - Science,$0.3M,$0.3M,100.0%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Endeavor Teacher Fellowship Trust Fund,80-8550,No Year,No Year,80-8550 /X - Endeavor Teacher Fellowship Trust Fund,$0.1M,$0.1M,100.0%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Construction, Environmental Compliance, and Remediation",80-0130,FY2011-FY2015,2015,"80-0130 11/15 - Construction, Environmental Compliance, and Remediation",$0.0M,$0.0M,100.0%
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Gifts and Donations,80-8980,No Year,No Year,80-8980 /X - Gifts and Donations,$0.0M,$0.0M,100.0%
National Science Foundation,National Science Foundation,Research and Related Activities,49-0100,FY2014-FY2015,2015,49-0100 14/15 - Research and Related Activities,$464.6M,"$5,490.7M",8.5%
National Science Foundation,National Science Foundation,Education and Human Resources,49-0106,FY2014-FY2015,2015,49-0106 14/15 - Education and Human Resources,$37.3M,$794.5M,4.7%
National Science Foundation,National Science Foundation,Research and Related Activities,49-0100,No Year,No Year,49-0100 /X - Research and Related Activities,$13.4M,$448.0M,3.0%
National Science Foundation,National Science Foundation,Agency Operations and Award Management,49-0180,FY2014,2014,49-0180 /14 - Agency Operations and Award Management,$59.1M,$316.3M,18.7%
National Science Foundation,National Science Foundation,"Education and Human Resources, H-1B Funded",49-5176,No Year,No Year,"49-5176 /X - Education and Human Resources, H-1B Funded",$101.5M,$228.3M,44.5%
National Science Foundation,National Science Foundation,Major Research and Equipment and Facilities Construction,49-0551,No Year,No Year,49-0551 /X - Major Research and Equipment and Facilities Construction,$0.4M,$200.4M,0.2%
National Science Foundation,National Science Foundation,Donations,49-8960,No Year,No Year,49-8960 /X - Donations,$34.8M,$64.6M,53.8%
National Science Foundation,National Science Foundation,Education and Human Resources,49-0106,No Year,No Year,49-0106 /X - Education and Human Resources,$1.5M,$63.4M,2.4%
National Science Foundation,National Science Foundation,Research and Related Activities,49-0100,FY2013-FY2014,2014,49-0100 13/14 - Research and Related Activities,$3.7M,$18.5M,20.1%
National Science Foundation,National Science Foundation,Office of the Inspector General,49-0300,FY2014,2014,49-0300 /14 - Office of the Inspector General,$1.3M,$13.8M,9.2%
National Science Foundation,National Science Foundation,Office of the National Science Board,49-0350,FY2014,2014,49-0350 /14 - Office of the National Science Board,$0.5M,$4.3M,10.6%
National Science Foundation,National Science Foundation,Education and Human Resources,49-0106,FY2013-FY2014,2014,49-0106 13/14 - Education and Human Resources,$0.7M,$0.8M,87.2%
National Science Foundation,National Science Foundation,Office of the Inspector General,49-0300,FY2014-FY2015,2015,49-0300 14/15 - Office of the Inspector General,$0.4M,$0.5M,82.6%
National Science Foundation,National Science Foundation,Office of the Inspector General,49-0300,FY2013-FY2014,2014,49-0300 13/14 - Office of the Inspector General,$0.0M,$0.0M,100.0%
Office of Personnel Management,Office of Personnel Management,Civil Service Retirement and Disability Fund,24-8135,No Year,No Year,24-8135 /X - Civil Service Retirement and Disability Fund,"$6,909.9M","$80,036.4M",8.6%
Office of Personnel Management,Office of Personnel Management,Employees Health Benefits Fund,24-8440,No Year,No Year,24-8440 /X - Employees Health Benefits Fund,"$26,929.9M","$69,090.3M",39.0%
Office of Personnel Management,Office of Personnel Management,Employees Life Insurance Fund,24-8424,No Year,No Year,24-8424 /X - Employees Life Insurance Fund,"$43,095.6M","$45,870.9M",93.9%
Office of Personnel Management,Office of Personnel Management,Payment to Civil Service Retirement and Disability Fund,24-0200,FY2014,2014,24-0200 /14 - Payment to Civil Service Retirement and Disability Fund,"$8,867.5M","$35,470.0M",25.0%
Office of Personnel Management,Office of Personnel Management,"Government Payment for Annuitants, Employees Health Benefits",24-0206,No Year,No Year,"24-0206 /X - Government Payment for Annuitants, Employees Health Benefits","$1,036.1M","$11,463.0M",9.0%
Office of Personnel Management,Office of Personnel Management,Revolving Fund,24-4571,No Year,No Year,24-4571 /X - Revolving Fund,$874.0M,"$2,230.3M",39.2%
Office of Personnel Management,Office of Personnel Management,Salaries and Expenses,24-0100,FY2014,2014,24-0100 /14 - Salaries and Expenses,$71.4M,$379.7M,18.8%
Office of Personnel Management,Office of Personnel Management,Flexible Benefits Plan Reserve,24-0800,No Year,No Year,24-0800 /X - Flexible Benefits Plan Reserve,$105.5M,$121.2M,87.1%
Office of Personnel Management,Office of Personnel Management,"Government Payment for Annuitants, Employee Life Insurance",24-0500,No Year,No Year,"24-0500 /X - Government Payment for Annuitants, Employee Life Insurance",$5.0M,$46.5M,10.8%
Office of Personnel Management,Office of Personnel Management,Office of Inspector General,24-0400,FY2014,2014,24-0400 /14 - Office of Inspector General,$3.4M,$26.2M,13.0%
Office of Personnel Management,Office of Personnel Management,Salaries and Expenses,24-0100,No Year,No Year,24-0100 /X - Salaries and Expenses,$13.5M,$22.6M,59.5%
Office of Personnel Management,Office of Personnel Management,Building Delegation Fund,24-0600,No Year,No Year,24-0600 /X - Building Delegation Fund,$5.2M,$11.9M,43.5%
Office of Personnel Management,Office of Personnel Management,Retired Employees Health Benefits Fund,24-8445,No Year,No Year,24-8445 /X - Retired Employees Health Benefits Fund,$2.5M,$3.0M,81.8%
Office of Personnel Management,Office of Personnel Management,Postal Service Retiree Health Benefits Fund,24-5391,No Year,No Year,24-5391 /X - Postal Service Retiree Health Benefits Fund,$0.0M,$0.0M,0.0%
Other Defense Civil Programs,Military Retirement,Military Retirement Fund,97-8097,No Year,No Year,97-8097 /X - Military Retirement Fund,"$60,354.2M","$111,169.4M",54.3%
Other Defense Civil Programs,Retiree Health Care,Department of Defense Medicare-Eligible Retiree Health Care Fund,97-5472,No Year,No Year,97-5472 /X - Department of Defense Medicare-Eligible Retiree Health Care Fund,"$11,545.5M","$20,288.0M",56.9%
